Project Name,Package Name,Architecture Smell,Cause of the Smell
akto,com.akto.parsers,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.akto.runtime
akto,com.akto.parsers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.runtime; com.akto.dao.context.
akto,com.akto.parsers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.dto.traffic_metrics; com.akto.dao.
akto,com.akto.parsers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.dto.type; com.akto.runtime; com.akto.dto.
akto,com.akto.parsers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.dto; com.akto.dao.
akto,com.akto.parsers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.dto.type; com.akto.runtime.
akto,com.akto.parsers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.runtime; com.akto.dao; com.akto.dto.type.
akto,com.akto.parsers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.runtime; com.akto.dao.
akto,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 9.29. All the dependencies among components: from: com.akto.parsers to: com.akto.log; from: com.akto.parsers to: com.akto.runtime; from: com.akto.parsers to: com.akto.dto; from: com.akto.parsers to: com.akto.util; from: com.akto.parsers to: com.akto.dao.context; from: com.akto.parsers to: com.akto.dto.traffic_metrics; from: com.akto.parsers to: com.akto.graphql; from: com.akto.parsers to: com.akto.dao; from: com.akto.parsers to: com.akto.dao.traffic_metrics; from: com.akto.parsers to: com.akto.dto.type; from: com.akto.parsers to: com.akto.dto.traffic; from: com.akto.parsers to: com.akto.dto.runtime_filters; from: com.akto.runtime to: com.akto.log; from: com.akto.runtime to: com.akto.dao; from: com.akto.runtime to: com.akto.dto.type; from: com.akto.runtime to: com.akto.dto; from: com.akto.runtime to: com.akto.dto.traffic; from: com.akto.runtime to: com.akto.dao.context; from: com.akto.runtime to: com.akto.utils; from: com.akto.runtime to: com.akto.parsers; from: com.akto.runtime to: com.akto.types; from: com.akto.runtime to: com.akto.task; from: com.akto.runtime to: com.akto.kafka; from: com.akto.runtime to: com.akto.runtime.policies; from: com.akto.runtime to: com.akto; from: com.akto.runtime to: com.akto.runtime.merge; from: com.akto.runtime.merge to: com.akto.dao; from: com.akto.runtime.merge to: com.akto.dto; from: com.akto.runtime.merge to: com.akto.dto.traffic; from: com.akto.runtime.merge to: com.akto.dto.type; from: com.akto.runtime.merge to: com.akto.types; from: com.akto.runtime.policies to: com.akto.runtime; from: com.akto.runtime.policies to: com.akto.log; from: com.akto.runtime.policies to: com.akto.dto; from: com.akto.runtime.policies to: com.akto.dto.type; from: com.akto.runtime.policies to: com.akto.dao.context; from: com.akto.runtime.policies to: com.akto.dao; from: com.akto.runtime.policies to: com.akto.dto.runtime_filters; from: com.akto.runtime.policies to: com.akto.util; from: com.akto.runtime.policies to: com.akto.parsers; from: com.akto.runtime.policies to: com.akto.runtime.merge; from: com.akto.utils to: com.akto.dto; from: com.akto.utils to: com.akto.dto.type; from: com.akto.utils to: com.akto.runtime.policies; from: com.akto.utils to: com.akto.dao; from: com.akto.utils to: com.akto.parsers; from: com.akto.utils to: com.akto.runtime; from: com.akto.utils to: com.akto.dto.traffic; from: com.akto.utils to: com.akto.dao.context; from: com.akto.utils to: com.akto.log; from: com.akto.utils to: com.akto.testing; from: com.akto.utils to: com.akto.dto.third_party_access; from: com.akto.utils to: com.akto.listener; from: com.akto.utils to: com.akto; from: com.akto.utils to: com.akto.util.modifier; from: com.akto.utils to: com.akto.util; from: com.akto.action to: com.akto.utils; from: com.akto.action to: com.akto.dto; from: com.akto.action to: com.akto.dao; from: com.akto.action to: com.akto.log; from: com.akto.action to: com.akto.utils.cloud.stack.aws; from: com.akto.action to: com.akto.utils.platform; from: com.akto.action to: com.akto.utils.cloud.serverless.aws; from: com.akto.action to: com.akto.utils.cloud; from: com.akto.action to: com.akto.utils.cloud.stack.dto; from: com.akto.action to: com.akto.dao.context; from: com.akto.action to: com.akto.runtime; from: com.akto.action to: com.akto.dto.notifications; from: com.akto.action to: com.akto.dao.notifications; from: com.akto.action to: com.akto.dto.type; from: com.akto.action to: com.akto.listener; from: com.akto.action to: com.akto.dto.traffic; from: com.akto.action to: com.akto.parsers; from: com.akto.action to: com.akto.dto.data_types; from: com.akto.action to: com.akto.har; from: com.akto.action to: com.akto.dao.loaders; from: com.akto.action to: com.akto.dto.testing; from: com.akto.action to: com.akto.action.testing; from: com.akto.action to: com.akto.util.enums; from: com.akto.action to: com.akto.open_api; from: com.akto.action to: com.akto.dto.third_party_access; from: com.akto.action to: com.akto.postman; from: com.akto.action to: com.akto; from: com.akto.action to: com.akto.dto.loaders; from: com.akto.action to: com.akto.action.observe; from: com.akto.action.gpt.data_extractors to: com.akto.action.observe; from: com.akto.action.gpt to: com.akto.dto; from: com.akto.action.gpt to: com.akto.action.gpt.handlers; from: com.akto.action.gpt to: com.akto.dto.gpt; from: com.akto.action.gpt to: com.akto.dao; from: com.akto.action.gpt.handlers to: com.akto.action.gpt.result_fetchers; from: com.akto.action.gpt.handlers to: com.akto.action.gpt.utils; from: com.akto.action.gpt.handlers to: com.akto.action; from: com.akto.action.gpt.handlers to: com.akto.action.gpt; from: com.akto.action.gpt.handlers to: com.akto.action.gpt.data_extractors; from: com.akto.action.gpt.handlers to: com.akto.dto.test_editor; from: com.akto.action.gpt.handlers to: com.akto.dao.test_editor; from: com.akto.action.gpt.utils to: com.akto.dto; from: com.akto.action.gpt.validators to: com.akto.dto.gpt; from: com.akto.action.gpt.validators to: com.akto.dao; from: com.akto.action.gpt.validators to: com.akto.action.gpt; from: com.akto.action.growth_tools to: com.akto.dto.traffic; from: com.akto.action.growth_tools to: com.akto.dao.context; from: com.akto.action.growth_tools to: com.akto.dto; from: com.akto.action.growth_tools to: com.akto.dto.type; from: com.akto.action.misc to: com.akto.log; from: com.akto.action.misc to: com.akto.dto; from: com.akto.action.misc to: com.akto.dao.context; from: com.akto.action.misc to: com.akto.dao; from: com.akto.action.observe to: com.akto.log; from: com.akto.action.observe to: com.akto.dao; from: com.akto.action.observe to: com.akto.dto; from: com.akto.action.observe to: com.akto.dao.context; from: com.akto.action.observe to: com.akto.util; from: com.akto.action.observe to: com.akto.dto.type; from: com.akto.action.quick_start to: com.akto.utils.cloud.stack.dto; from: com.akto.action.quick_start to: com.akto.log; from: com.akto.action.quick_start to: com.akto.utils.cloud; from: com.akto.action.quick_start to: com.akto.dto; from: com.akto.action.quick_start to: com.akto.dto.third_party_access; from: com.akto.action.quick_start to: com.akto.utils; from: com.akto.action.quick_start to: com.akto.utils.cloud.stack.aws; from: com.akto.action.quick_start to: com.akto.utils.platform; from: com.akto.action.quick_start to: com.akto.dao; from: com.akto.action.quick_start to: com.akto.utils.cloud.serverless; from: com.akto.action.quick_start to: com.akto.utils.cloud.serverless.aws; from: com.akto.action.quick_start to: com.akto.util; from: com.akto.action.quick_start to: com.akto.dao.context; from: com.akto.action.quick_start to: com.akto.utils.cloud.stack; from: com.akto.action.testing to: com.akto.dto.testing; from: com.akto.action.testing to: com.akto.log; from: com.akto.action.testing to: com.akto.testing; from: com.akto.action.testing to: com.akto.util.enums; from: com.akto.action.testing to: com.akto.dao; from: com.akto.action.testing to: com.akto.dao.testing; from: com.akto.action.testing to: com.akto.util; from: com.akto.action.testing to: com.akto.dto; from: com.akto.action.testing to: com.akto.dao.context; from: com.akto.action.testing to: com.akto.dto.testing.sources; from: com.akto.action.testing to: com.akto.dto.test_editor; from: com.akto.action.testing to: com.akto.dao.testing.sources; from: com.akto.action.testing to: com.akto.dao.test_editor; from: com.akto.action.testing to: com.akto.dto.test_run_findings; from: com.akto.action.testing to: com.akto.utils; from: com.akto.action.testing to: com.akto.dao.testing_run_findings; from: com.akto.action.testing to: com.akto.dto.data_types; from: com.akto.action.testing to: com.akto.action.test_editor; from: com.akto.action.testing to: com.akto.dto.type; from: com.akto.action.testing_issues to: com.akto.dto.test_run_findings; from: com.akto.action.testing_issues to: com.akto.dto.testing; from: com.akto.action.testing_issues to: com.akto.dto.testing.sources; from: com.akto.action.testing_issues to: com.akto.dto.test_editor; from: com.akto.action.testing_issues to: com.akto.dto; from: com.akto.action.testing_issues to: com.akto.dao.testing.sources; from: com.akto.action.testing_issues to: com.akto.dao.testing_run_findings; from: com.akto.action.testing_issues to: com.akto.dao.testing; from: com.akto.action.testing_issues to: com.akto.dao.test_editor; from: com.akto.action.testing_issues to: com.akto.util.enums; from: com.akto.action.testing_issues to: com.akto.dao.demo; from: com.akto.action.test_editor to: com.akto.dto.testing; from: com.akto.action.test_editor to: com.akto.dto.test_run_findings; from: com.akto.action.test_editor to: com.akto.dto.test_editor; from: com.akto.action.test_editor to: com.akto.dao.test_editor; from: com.akto.action.test_editor to: com.akto.dao.context; from: com.akto.action.test_editor to: com.akto.testing; from: com.akto.action.test_editor to: com.akto.store; from: com.akto.action.test_editor to: com.akto.action.testing_issues; from: com.akto.action.test_editor to: com.akto.dto; from: com.akto.action.test_editor to: com.akto; from: com.akto.action.test_editor to: com.akto.dao.testing; from: com.akto.action.test_editor to: com.akto.util; from: com.akto.action.test_editor to: com.akto.util.enums; from: com.akto.action.test_editor to: com.akto.dto.type; from: com.akto.action.test_editor to: com.akto.dao; from: com.akto.action.tpi to: com.akto.listener; from: com.akto.action.tpi to: com.akto.dao.context; from: com.akto.action.tpi to: com.akto.dto; from: com.akto.action.tpi to: com.akto.dao; from: com.akto.action.traffic_metrics to: com.akto.dto.traffic_metrics; from: com.akto.action.traffic_metrics to: com.akto.dao.traffic_metrics; from: com.akto.action.user to: com.akto.dao; from: com.akto.filter to: com.akto.dto; from: com.akto.filter to: com.akto.dao.context; from: com.akto.filter to: com.akto.log; from: com.akto.filter to: com.akto.listener; from: com.akto.filter to: com.akto.utils; from: com.akto.filter to: com.akto.action; from: com.akto.filter to: com.akto.dao; from: com.akto.listener to: com.akto.log; from: com.akto.listener to: com.akto; from: com.akto.listener to: com.akto.dto.testing.sources; from: com.akto.listener to: com.akto.dao.context; from: com.akto.listener to: com.akto.dto; from: com.akto.listener to: com.akto.dto.traffic; from: com.akto.listener to: com.akto.util; from: com.akto.listener to: com.akto.dto.pii; from: com.akto.listener to: com.akto.dto.type; from: com.akto.listener to: com.akto.dto.data_types; from: com.akto.listener to: com.akto.notifications.slack; from: com.akto.listener to: com.akto.dto.notifications; from: com.akto.listener to: com.akto.testing; from: com.akto.listener to: com.akto.utils; from: com.akto.listener to: com.akto.action.observe; from: com.akto.listener to: com.akto.action; from: com.akto.listener to: com.akto.dao; from: com.akto.listener to: com.akto.dto.test_editor; from: com.akto.listener to: com.akto.dao.test_editor; from: com.akto.listener to: com.akto.dao.testing.sources; from: com.akto.listener to: com.akto.dao.pii; from: com.akto.listener to: com.akto.dao.notifications; from: com.akto.listener to: com.akto.dao.testing; from: com.akto.listener to: com.akto.dao.testing_run_findings; from: com.akto.listener to: com.akto.dao.traffic_metrics; from: com.akto.listener to: com.akto.dao.loaders; from: com.akto.listener to: com.akto.kafka; from: com.akto.listener to: com.akto.parsers; from: com.akto.listener to: com.akto.runtime.policies; from: com.akto.listener to: com.akto.runtime; from: com.akto.listener to: com.akto.dto.testing; from: com.akto.listener to: com.akto.dao.demo; from: com.akto.listener to: com.akto.dto.test_run_findings; from: com.akto.listener to: com.akto.util.enums; from: com.akto.utils.cloud to: com.akto.log; from: com.akto.utils.cloud.serverless.aws to: com.akto.log; from: com.akto.utils.cloud.serverless.aws to: com.akto.utils.cloud.serverless; from: com.akto.utils.cloud.stack.aws to: com.akto.log; from: com.akto.utils.cloud.stack.aws to: com.akto.utils.cloud.stack.dto; from: com.akto.utils.cloud.stack to: com.akto.utils.cloud.stack.dto; from: com.akto.rules to: com.akto.store; from: com.akto.rules to: com.akto.dto.testing; from: com.akto.rules to: com.akto.dto; from: com.akto.rules to: com.akto.testing; from: com.akto.rules to: com.akto.utils; from: com.akto.rules to: com.akto.dto.testing.info; from: com.akto.rules to: com.akto.util; from: com.akto.rules to: com.akto.log; from: com.akto.rules to: com.akto.runtime; from: com.akto.rules to: com.akto.dto.type; from: com.akto.rules to: com.akto.dto.test_editor; from: com.akto.rules to: com.akto.test_editor.filter; from: com.akto.rules to: com.akto.dao; from: com.akto.rules to: com.akto.dao.context; from: com.akto.rules to: com.akto.util.modifier; from: com.akto.store to: com.akto.log; from: com.akto.store to: com.akto.dto.testing; from: com.akto.store to: com.akto.dto.traffic; from: com.akto.store to: com.akto.dto; from: com.akto.store to: com.akto.dao; from: com.akto.store to: com.akto.dto.type; from: com.akto.store to: com.akto.dao.testing; from: com.akto.testing to: com.akto.log; from: com.akto.testing to: com.akto.dto; from: com.akto.testing to: com.akto.dto.testing.rate_limit; from: com.akto.testing to: com.akto.dto.testing; from: com.akto.testing to: com.akto.dto.type; from: com.akto.testing to: com.akto.dto.api_workflow; from: com.akto.testing to: com.akto.dao.context; from: com.akto.testing to: com.akto.util; from: com.akto.testing to: com.akto.utils; from: com.akto.testing to: com.akto.dao.testing; from: com.akto.testing to: com.akto.dao; from: com.akto.testing to: com.akto; from: com.akto.testing to: com.akto.rules; from: com.akto.testing to: com.akto.runtime; from: com.akto.testing to: com.akto.store; from: com.akto.testing to: com.akto.testing_issues; from: com.akto.testing to: com.akto.dto.test_editor; from: com.akto.testing to: com.akto.testing.yaml_tests; from: com.akto.testing to: com.akto.dao.test_editor; from: com.akto.testing to: com.akto.util.enums; from: com.akto.testing.yaml_tests to: com.akto.dto.test_editor; from: com.akto.testing.yaml_tests to: com.akto.dto; from: com.akto.testing.yaml_tests to: com.akto.dto.testing; from: com.akto.testing.yaml_tests to: com.akto.log; from: com.akto.testing.yaml_tests to: com.akto.test_editor.auth; from: com.akto.testing.yaml_tests to: com.akto.rules; from: com.akto.testing.yaml_tests to: com.akto.testing; from: com.akto.testing.yaml_tests to: com.akto.test_editor.execution; from: com.akto.testing.yaml_tests to: com.akto.utils; from: com.akto.testing_issues to: com.akto.log; from: com.akto.testing_issues to: com.akto.dto.test_run_findings; from: com.akto.testing_issues to: com.akto.dto.testing; from: com.akto.testing_issues to: com.akto.dto.testing.sources; from: com.akto.testing_issues to: com.akto.dao.context; from: com.akto.testing_issues to: com.akto.testing_utils; from: com.akto.testing_issues to: com.akto.dao.testing.sources; from: com.akto.testing_issues to: com.akto.util.enums; from: com.akto.testing_issues to: com.akto.dao.testing_run_findings; from: com.akto.testing_issues to: com.akto.dto; from: com.akto.test_editor.auth to: com.akto.dto.test_editor; from: com.akto.test_editor.auth to: com.akto.dto; from: com.akto.test_editor.auth to: com.akto.dto.testing; from: com.akto.test_editor.auth to: com.akto.util; from: com.akto.test_editor.auth to: com.akto.testing; from: com.akto.test_editor.auth to: com.akto.test_editor.execution; from: com.akto.test_editor.auth to: com.akto.dao; from: com.akto.test_editor.execution to: com.akto.log; from: com.akto.test_editor.execution to: com.akto.dto.test_editor; from: com.akto.test_editor.execution to: com.akto.dto; from: com.akto.test_editor.execution to: com.akto.dto.testing; from: com.akto.test_editor.execution to: com.akto.testing; from: com.akto.test_editor.execution to: com.akto.test_editor; from: com.akto.test_editor.execution to: com.akto.dao.test_editor; from: com.akto.test_editor.execution to: com.akto.dao; from: com.akto.test_editor.execution to: com.akto.util; from: com.akto.test_editor.execution to: com.akto.util.modifier; from: com.akto.test_editor.execution to: com.akto.dto.type; from: com.akto.test_editor.filter.data_operands_impl to: com.akto.dto.test_editor; from: com.akto.test_editor.filter.data_operands_impl to: com.akto.dto.type; from: com.akto.test_editor.filter.data_operands_impl to: com.akto.test_editor; from: com.akto.test_editor.filter to: com.akto.log; from: com.akto.test_editor.filter to: com.akto.dto.test_editor; from: com.akto.test_editor.filter to: com.akto.dto; from: com.akto.test_editor.filter to: com.akto.rules; from: com.akto.test_editor.filter to: com.akto.utils; from: com.akto.test_editor.filter to: com.akto.runtime.policies; from: com.akto.test_editor.filter to: com.akto.dto.type; from: com.akto.test_editor.filter to: com.akto.test_editor.filter.data_operands_impl; from: com.akto.test_editor.filter to: com.akto.test_editor; from: com.akto.test_editor.filter to: com.akto.test_editor.execution; from: com.akto.test_editor.filter to: com.akto.runtime; from: com.akto.test_editor.filter to: com.akto.util; from: com.akto.test_editor.filter to: com.akto.dao; from: com.akto.dao to: com.akto.dao.context; from: com.akto.dao to: com.akto.dto; from: com.akto.dao to: com.akto.dto.runtime_filters; from: com.akto.dao to: com.akto.dto.traffic; from: com.akto.dao to: com.akto.dto.type; from: com.akto.dao to: com.akto; from: com.akto.dao to: com.akto.dto.data_types; from: com.akto.dao.context to: com.akto.dto; from: com.akto.dao.context to: com.akto.dao; from: com.akto.dao.demo to: com.akto.util.enums; from: com.akto.dao.loaders to: com.akto.dto.loaders; from: com.akto.dao.loaders to: com.akto.dao.context; from: com.akto.dao.testing to: com.akto.dto.data_types; from: com.akto.dao.testing to: com.akto.dto.testing; from: com.akto.dao.testing to: com.akto.dao.context; from: com.akto.dao.testing to: com.akto.util.enums; from: com.akto.dao.testing to: com.akto.util; from: com.akto.dao.testing to: com.akto.dto; from: com.akto.dao.testing.sources to: com.akto.dto.testing.sources; from: com.akto.dao.testing.sources to: com.akto.dao.context; from: com.akto.dao.testing_run_findings to: com.akto.util.enums; from: com.akto.dao.test_editor.auth to: com.akto.dto.test_editor; from: com.akto.dao.test_editor.executor to: com.akto.dto.test_editor; from: com.akto.dao.test_editor.executor to: com.akto.dao.test_editor; from: com.akto.dao.test_editor.filter to: com.akto.dto.test_editor; from: com.akto.dao.test_editor.filter to: com.akto.dao.test_editor; from: com.akto.dao.test_editor.info to: com.akto.dto.test_editor; from: com.akto.dao.test_editor to: com.akto.dto.test_editor; from: com.akto.dao.test_editor to: com.akto.dao.test_editor.info; from: com.akto.dao.test_editor to: com.akto.dao.test_editor.auth; from: com.akto.dao.test_editor to: com.akto.dao.test_editor.filter; from: com.akto.dao.test_editor to: com.akto.dao.test_editor.executor; from: com.akto.dao.traffic_metrics to: com.akto.dto.traffic_metrics; from: com.akto.dao.traffic_metrics to: com.akto.dao.context; from: com.akto to: com.akto.util; from: com.akto to: com.akto.dto; from: com.akto to: com.akto.dto.testing; from: com.akto to: com.akto.dto.data_types; from: com.akto to: com.akto.dto.type; from: com.akto to: com.akto.dto.third_party_access; from: com.akto to: com.akto.dto.notifications; from: com.akto to: com.akto.util.enums; from: com.akto to: com.akto.dto.traffic_metrics; from: com.akto to: com.akto.dto.loaders; from: com.akto to: com.akto.dto.auth; from: com.akto to: com.akto.dto.runtime_filters; from: com.akto to: com.akto.types; from: com.akto to: com.akto.dto.test_run_findings; from: com.akto to: com.akto.dto.testing.sources; from: com.akto to: com.akto.dto.testing.info; from: com.akto to: com.akto.dto.gpt; from: com.akto to: com.akto.dto.demo; from: com.akto to: com.akto.dao.context; from: com.akto to: com.akto.har; from: com.akto to: com.akto.graphql; from: com.akto.dto to: com.akto.dto.type; from: com.akto.dto to: com.akto.dao.context; from: com.akto.dto to: com.akto.dto.data_types; from: com.akto.dto to: com.akto.types; from: com.akto.dto to: com.akto.util; from: com.akto.dto.api_workflow to: com.akto.dto.testing; from: com.akto.dto.auth to: com.akto.dao.context; from: com.akto.dto.data_types to: com.akto.dto; from: com.akto.dto.data_types to: com.akto.dto.type; from: com.akto.dto.demo to: com.akto.dto; from: com.akto.dto.runtime_filters to: com.akto.dto; from: com.akto.dto.testing to: com.akto.dto; from: com.akto.dto.testing to: com.akto.dao; from: com.akto.dto.testing to: com.akto.util; from: com.akto.dto.testing to: com.akto.dto.data_types; from: com.akto.dto.testing to: com.akto.dto.testing.info; from: com.akto.dto.testing to: com.akto.dao.testing; from: com.akto.dto.testing to: com.akto.dto.type; from: com.akto.dto.test_editor to: com.akto.dto; from: com.akto.dto.test_editor to: com.akto.util.enums; from: com.akto.dto.test_run_findings to: com.akto.dto.testing.sources; from: com.akto.dto.test_run_findings to: com.akto.util.enums; from: com.akto.dto.third_party_access to: com.akto.dao.context; from: com.akto.dto.type to: com.akto.dto; from: com.akto.dto.type to: com.akto.dao.context; from: com.akto.dto.type to: com.akto.util; from: com.akto.dto.type to: com.akto.dto.traffic; from: com.akto.dto.type to: com.akto.types; from: com.akto.dto.type to: com.akto.dao; from: com.akto.dto.type to: com.akto.dto.data_types; from: com.akto.util to: com.akto.util.grpc; from: com.akto.util to: com.akto.util.modifier; from: com.akto.util to: com.akto; from: com.akto.util to: com.akto.dao.context; from: com.akto.util to: com.akto.dao; from: com.akto.util to: com.akto.dto; from: com.akto.util to: com.akto.dto.testing; from: com.akto.util to: com.akto.dto.type; from: com.akto.util.modifier to: com.akto.dto.type; from: com.akto.util.modifier to: com.akto.dao.context; from: com.akto.utils.grpc to: com.akto.util.grpc; from: com.akto.utils.modifier to: com.akto.util.modifier; from: com.akto.utils.modifier to: com.akto.dao.context; from: com.akto.postman to: com.akto; from: com.akto.calendar to: com.akto.dao.context; from: com.akto.graphql to: com.akto.dto; from: com.akto.har to: com.akto.log; from: com.akto.log to: com.akto.dao.context; from: com.akto.log to: com.akto.dto; from: com.akto.log to: com.akto.dao; from: com.akto.notifications.slack to: com.akto.dto.test_run_findings; from: com.akto.notifications.slack to: com.akto.dto.testing; from: com.akto.notifications.slack to: com.akto.dao.context; from: com.akto.notifications.slack to: com.akto.calendar; from: com.akto.notifications.slack to: com.akto.dto; from: com.akto.notifications.slack to: com.akto.dao.testing; from: com.akto.notifications.slack to: com.akto.dao.testing_run_findings; from: com.akto.notifications.slack to: com.akto.util.enums; from: com.akto.open_api to: com.akto.log; from: com.akto.open_api to: com.akto.dto.type; from: com.akto.open_api to: com.akto.types; from: com.akto.task to: com.akto.dto; from: com.akto.task to: com.akto.dao.context; from: com.akto.task to: com.akto.dao; from: com.akto.testing_utils to: com.akto.dto.test_run_findings; from: com.akto.testing_utils to: com.akto.dto.testing.sources; from: com.akto.testing_utils to: com.akto.dao.testing.sources; from: com.akto.testing_utils to: com.akto.util.enums.
akto,com.akto.parsers,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.akto.parsers; com.akto.runtime; com.akto.parsers
